dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
breast_cancer,backdoor,0.2,anomaly_iforest,0.9678362573099415,0.013399344137297734,0.23255813953488372,0.3534136546184739,0.4313725490196078,0.38852097130242824,0.21077728271484375
breast_cancer,backdoor,0.2,anomaly_lof,0.9502923976608187,0.022075539284417398,0.7674418604651163,0.12048192771084337,0.14705882352941177,0.13245033112582782,0.006325562795003255
breast_cancer,backdoor,0.2,hybrid,0.9298245614035089,0.026315789473684154,0.16279069767441862,0.22262510602205257,0.6470588235294118,0.3256402565711467,0.24358407656351724
breast_cancer,backdoor,0.2,none,0.9473684210526315,0.031627642767228015,0.8062015503875969,0.0,0.0,0.0,0.003332932790120443
breast_cancer,backdoor,0.2,roni,0.9327485380116959,0.022075539284417404,0.7984496124031008,0.15120901437480583,0.39705882352941174,0.21814921527667316,0.0681287447611491
breast_cancer,backdoor,0.2,trimmed_loss,0.8918128654970761,0.022075539284417352,0.35658914728682173,0.23170731707317072,0.27941176470588236,0.25333333333333335,0.016110976537068684
breast_cancer,feature_collision,0.05,anomaly_iforest,0.956140350877193,0.00877192982456143,0.11627906976744186,0.03508771929824561,0.0392156862745098,0.037037037037037035,0.19139655431111655
breast_cancer,feature_collision,0.05,anomaly_lof,0.956140350877193,0.00877192982456143,0.11627906976744186,0.0,0.0,0.0,0.005533536275227864
breast_cancer,feature_collision,0.05,hybrid,0.9444444444444443,0.0202579041820921,0.13953488372093023,0.06095430903943644,0.45098039215686275,0.10601907414160838,0.23924700419108072
breast_cancer,feature_collision,0.05,none,0.9502923976608187,0.013399344137297826,0.13178294573643412,0.0,0.0,0.0,0.002360264460245768
breast_cancer,feature_collision,0.05,roni,0.9590643274853802,0.013399344137297835,0.10077519379844961,0.04376937220908852,0.3137254901960784,0.075381143065162,0.04849958419799805
breast_cancer,feature_collision,0.05,trimmed_loss,0.9532163742690059,0.005064476045523041,0.11627906976744186,0.5925925925925926,0.6274509803921569,0.6095238095238095,0.013853232065836588
breast_cancer,feature_collision,0.1,anomaly_iforest,0.9327485380116959,0.02025790418209213,0.17829457364341086,0.07017543859649122,0.0784313725490196,0.07407407407407407,0.1936335563659668
breast_cancer,feature_collision,0.1,anomaly_lof,0.9385964912280702,0.023208344833899913,0.1627906976744186,0.043859649122807015,0.049019607843137254,0.0462962962962963,0.005938371022542317
breast_cancer,feature_collision,0.1,hybrid,0.9385964912280702,0.017543859649122792,0.16279069767441862,0.10567645861763508,0.5686274509803922,0.17647058823529413,0.24433104197184244
breast_cancer,feature_collision,0.1,none,0.9385964912280702,0.023208344833899913,0.1627906976744186,0.0,0.0,0.0,0.0026503403981526694
breast_cancer,feature_collision,0.1,roni,0.9327485380116959,0.028197809242669482,0.17054263565891473,0.09813874788494077,0.5686274509803922,0.1673881673881674,0.04871145884195963
breast_cancer,feature_collision,0.1,trimmed_loss,0.9473684210526315,0.01754385964912275,0.13953488372093023,0.5585585585585585,0.607843137254902,0.5821596244131455,0.014340798060099283
breast_cancer,feature_collision,0.2,anomaly_iforest,0.9269005847953217,0.022075539284417314,0.1937984496124031,0.09236947791164658,0.11274509803921569,0.10154525386313466,0.1981190045674642
breast_cancer,feature_collision,0.2,anomaly_lof,0.9181286549707602,0.022075539284417377,0.2170542635658915,0.08433734939759036,0.10294117647058824,0.09271523178807946,0.006045738855997722
breast_cancer,feature_collision,0.2,hybrid,0.9210526315789473,0.015193428136569147,0.20930232558139536,0.14386905021172958,0.42647058823529416,0.2138402181159372,0.25601855913798016
breast_cancer,feature_collision,0.2,none,0.9093567251461989,0.01012895209104605,0.24031007751937986,0.0,0.0,0.0,0.0029026667277018228
breast_cancer,feature_collision,0.2,roni,0.9093567251461988,0.01339934413729779,0.23255813953488372,0.13518518518518519,0.30392156862745096,0.183510276303253,0.060016632080078125
breast_cancer,feature_collision,0.2,trimmed_loss,0.8947368421052632,0.03823595564509361,0.27906976744186046,0.43089430894308944,0.5196078431372549,0.4711111111111111,0.015602668126424154
breast_cancer,label_flip,0.05,anomaly_iforest,0.9532163742690059,0.022075539284417404,0.04678362573099415,0.2962962962962963,0.3137254901960784,0.30476190476190473,0.21792236963907877
breast_cancer,label_flip,0.05,anomaly_lof,0.9649122807017543,0.017543859649122792,0.03508771929824565,0.20370370370370372,0.21568627450980393,0.20952380952380953,0.01449886957804362
breast_cancer,label_flip,0.05,hybrid,0.956140350877193,0.02320834483389991,0.04385964912280701,0.22352009829067945,0.7843137254901961,0.3353276353276353,0.27631107966105145
breast_cancer,label_flip,0.05,none,0.956140350877193,0.017543859649122834,0.04385964912280701,0.0,0.0,0.0,0.0031793912251790366
breast_cancer,label_flip,0.05,roni,0.9444444444444443,0.013399344137297766,0.05555555555555558,0.055119825708061,0.2745098039215686,0.08580894459640438,0.06193192799886068
breast_cancer,label_flip,0.05,trimmed_loss,0.97953216374269,0.01012895209104605,0.02046783625730993,0.8703703703703703,0.9215686274509803,0.8952380952380952,0.015674908955891926
breast_cancer,label_flip,0.1,anomaly_iforest,0.9649122807017544,0.00877192982456143,0.03508771929824561,0.3684210526315789,0.411764705882353,0.38888888888888884,0.21548875172932944
breast_cancer,label_flip,0.1,anomaly_lof,0.9619883040935672,0.005064476045523041,0.03801169590643275,0.2982456140350877,0.3333333333333333,0.3148148148148148,0.006436347961425781
