defense,clean_acc,fit_time_sec,keep_fraction,det_precision,det_recall,det_f1,det_roc_auc,asr,dataset,attack,poison_rate,acc_clean_no_attack,seed
anomaly_lof,0.956140350877193,0.006020069122314453,0.946927374301676,0.0,0.0,0.0,0.47214076246334313,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
roni,0.9649122807017544,0.05822491645812988,0.6983240223463687,0.05555555555555555,0.35294117647058826,0.096,0.5269104709332414,0.09302325581395349,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
trimmed_loss,0.956140350877193,0.015392065048217773,0.9497206703910615,0.5,0.5294117647058824,0.5142857142857142,0.7515094014145247,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
hybrid,0.9298245614035088,0.24888968467712402,0.7625698324022346,0.07058823529411765,0.35294117647058826,0.11764705882352941,0.5606348111091944,0.18604651162790697,breast_cancer,targeted_flip,0.05,0.9912280701754386,42
none,0.9736842105263158,0.0020558834075927734,1.0,0.0,0.0,0.0,0.5,0.06976744186046512,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
anomaly_iforest,0.9736842105263158,0.2130587100982666,0.946927374301676,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.5030188028290495,0.06976744186046512,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
anomaly_lof,0.9736842105263158,0.005523681640625,0.946927374301676,0.0,0.0,0.0,0.47214076246334313,0.06976744186046512,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
roni,0.956140350877193,0.0462799072265625,0.6927374301675978,0.06363636363636363,0.4117647058823529,0.11023622047244094,0.5548559599792996,0.06976744186046512,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
trimmed_loss,0.9649122807017544,0.013044595718383789,0.9497206703910615,0.4444444444444444,0.47058823529411764,0.45714285714285713,0.7206313610488185,0.09302325581395349,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
hybrid,0.9824561403508771,0.24777936935424805,0.6536312849162011,0.056451612903225805,0.4117647058823529,0.09929078014184398,0.534328100741763,0.046511627906976744,breast_cancer,targeted_flip,0.05,0.9649122807017544,123
none,0.956140350877193,0.002221822738647461,1.0,0.0,0.0,0.0,0.5,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
anomaly_iforest,0.956140350877193,0.19347620010375977,0.946927374301676,0.10526315789473684,0.11764705882352941,0.1111111111111111,0.5338968431947559,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
anomaly_lof,0.956140350877193,0.005567073822021484,0.946927374301676,0.0,0.0,0.0,0.47214076246334313,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
roni,0.956140350877193,0.0449526309967041,0.4748603351955307,0.03723404255319149,0.4117647058823529,0.06829268292682927,0.4404864585130239,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
trimmed_loss,0.956140350877193,0.01425027847290039,0.9497206703910615,0.3888888888888889,0.4117647058823529,0.4,0.6897533206831119,0.11627906976744186,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
hybrid,0.9736842105263158,0.2404019832611084,0.7905027932960894,0.12,0.5294117647058824,0.1956521739130435,0.667931688804554,0.06976744186046512,breast_cancer,targeted_flip,0.05,0.9824561403508771,2024
none,0.9210526315789473,0.0025780200958251953,1.0,0.0,0.0,0.0,0.5,0.20930232558139536,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
anomaly_iforest,0.9122807017543859,0.1933293342590332,0.8986666666666666,0.18421052631578946,0.20588235294117646,0.19444444444444445,0.5574866310160428,0.23255813953488372,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
anomaly_lof,0.9210526315789473,0.005974769592285156,0.8986666666666666,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.47662584095221666,0.20930232558139536,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
roni,0.9210526315789473,0.05290508270263672,0.7146666666666667,0.08411214953271028,0.2647058823529412,0.1276595744680851,0.488657926513714,0.20930232558139536,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
trimmed_loss,0.9210526315789473,0.013349533081054688,0.9013333333333333,0.4864864864864865,0.5294117647058824,0.5070422535211268,0.7368466448162843,0.20930232558139536,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
hybrid,0.9210526315789473,0.2366166114807129,0.5413333333333333,0.11046511627906977,0.5588235294117647,0.18446601941747573,0.5550715887528032,0.20930232558139536,breast_cancer,targeted_flip,0.1,0.9912280701754386,42
none,0.9385964912280702,0.002645254135131836,1.0,0.0,0.0,0.0,0.5,0.16279069767441862,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
anomaly_iforest,0.956140350877193,0.19189190864562988,0.8986666666666666,0.18421052631578946,0.20588235294117646,0.19444444444444445,0.5574866310160428,0.11627906976744186,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
anomaly_lof,0.9385964912280702,0.005832195281982422,0.8986666666666666,0.0,0.0,0.0,0.4442815249266862,0.13953488372093023,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
roni,0.956140350877193,0.0537106990814209,0.608,0.10884353741496598,0.47058823529411764,0.17679558011049723,0.5432120062101087,0.11627906976744186,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
trimmed_loss,0.9298245614035088,0.014254093170166016,0.9013333333333333,0.4594594594594595,0.5,0.4788732394366197,0.7206744868035191,0.18604651162790697,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
hybrid,0.9649122807017544,0.2451496124267578,0.664,0.15079365079365079,0.5588235294117647,0.2375,0.6225202691047094,0.09302325581395349,breast_cancer,targeted_flip,0.1,0.9649122807017544,123
